category,output,inputs,status,message
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot017/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot017_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot017/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot017_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot017/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_CDM/gas/raw-volume/snapshot017_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot017_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot017_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot017/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot017_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot017/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot017_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot025/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_CDM/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot025/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot025/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot025/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot025/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_CDM/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot025/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot025/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot025/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot025_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot033/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_CDM/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot033/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot033/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot033/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot033/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_CDM/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot033/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot033/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot033/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot033_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot050/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_CDM/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot050/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot050/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot050/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot050/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_CDM/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot050/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot050/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot050/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot050_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot067/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_CDM/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot067/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_SIDM1/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot067/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot067/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot067/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_CDM/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot067/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot067/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot067/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot067_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot084/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_CDM/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot084/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot084/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot084/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_CDM/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot084/gas/raw-volume-grid256/sidm1_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_SIDM1/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot084/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_WDM3/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L75n910/snapshot084/gas/raw-volume-grid256/vsidm_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L75n910_vSIDM/gas/raw-volume/snapshot084_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot099/gas/raw-volume-grid256/model_comparison.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_CDM/gas/raw-volume/snapshot099_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot099_grid256/threads1_batch1_run001.json;results/aida-tng-raw-volume-od100-uniform200/L35n1080_vSIDM/gas/raw-volume/snapshot099_grid256/threads1_batch1_run001.json,written,
clumping/model-comparison,results/analysis-raw-volume-od100-uniform200/clumping/aida-tng/model-comparison/L35n1080/snapshot099/gas/raw-volume-grid256/wdm3_relative_to_cdm.png,results/aida-tng-raw-volume-od100-uniform200/L35n1080_WDM3/gas/raw-volume/snapshot099_grid256/threads1_batch1_run001.json,written,
